2018-01-14 05:03:52.827 [Thread-18] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:984] Thread-18cid - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@149add49: startup date [Sun Jan 14 04:56:04 CST 2018]; root of context hierarchy
2018-01-14 05:03:52.828 [Thread-18] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:984] Thread-18cid - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@28e52ec8: startup date [Sun Jan 14 04:56:09 CST 2018]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@149add49
2018-01-14 05:03:52.940 [Thread-18] INFO  [org.springframework.context.support.DefaultLifecycleProcessor:358] Thread-18cid - Stopping beans in phase 0
2018-01-14 05:03:52.941 [Thread-18] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:449] Thread-18cid - Unregistering JMX-exposed beans on shutdown
2018-01-14 05:03:52.941 [Thread-18] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:241] Thread-18cid - Unregistering JMX-exposed beans
2018-01-14 05:03:52.941 [Thread-18] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:449] Thread-18cid - Unregistering JMX-exposed beans on shutdown
2018-01-14 05:03:52.941 [Thread-18] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:241] Thread-18cid - Unregistering JMX-exposed beans
2018-01-14 05:03:52.941 [Thread-18] INFO  [org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler:202] Thread-18cid - Shutting down ExecutorService 'registrationTaskScheduler'
2018-01-14 05:03:52.941 [Thread-18] INFO  [com.alibaba.druid.pool.DruidDataSource:1817] Thread-18cid - {dataSource-1} closed
2018-01-14 05:03:53.453 [restartedMain] INFO  [com.liaozan.WebApplication:48] restartedMaincid - Starting WebApplication on Administrator with PID 7448 (F:\github\houses\web\target\classes started by Administrator in F:\github\houses)
2018-01-14 05:03:53.453 [restartedMain] INFO  [com.liaozan.WebApplication:593] restartedMaincid - No active profile set, falling back to default profiles: default
2018-01-14 05:03:53.456 [restartedMain] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:583] restartedMaincid - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6459b17a: startup date [Sun Jan 14 05:03:53 CST 2018]; root of context hierarchy
2018-01-14 05:03:54.690 [restartedMain] INFO  [org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer:89] restartedMaincid - Tomcat initialized with port(s): 8091 (http)
2018-01-14 05:03:54.691 [restartedMain] INFO  [org.apache.catalina.core.StandardService:179] restartedMaincid - Starting service [Tomcat]
2018-01-14 05:03:54.691 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine:179] restartedMaincid - Starting Servlet Engine: Apache Tomcat/8.5.23
2018-01-14 05:03:54.720 [localhost-startStop-1] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:179] localhost-startStop-1cid - Initializing Spring embedded WebApplicationContext
2018-01-14 05:03:54.720 [localhost-startStop-1] INFO  [org.springframework.web.context.ContextLoader:276] localhost-startStop-1cid - Root WebApplicationContext: initialization completed in 1264 ms
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.ServletRegistrationBean:190] localhost-startStop-1cid - Mapping servlet: 'dispatcherServlet' to [/]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.ServletRegistrationBean:190] localhost-startStop-1cid - Mapping servlet: 'statViewServlet' to [/druid/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'metricsFilter' to: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'requestContextFilter' to: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:271] localhost-startStop-1cid - Mapping filter: 'webStatFilter' to urls: [/*]
2018-01-14 05:03:54.902 [localhost-startStop-1] INFO  [org.springframework.boot.web.servlet.FilterRegistrationBean:258] localhost-startStop-1cid - Mapping filter: 'applicationContextIdFilter' to: [/*]
2018-01-14 05:03:55.608 [restartedMain] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:179] restartedMaincid - jolokia: No access restrictor found, access to any MBean is allowed
2018-01-14 05:03:55.654 [restartedMain] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:534] restartedMaincid - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6459b17a: startup date [Sun Jan 14 05:03:53 CST 2018]; root of context hierarchy
2018-01-14 05:03:55.663 [restartedMain] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:543] restartedMaincid - Mapped "{[/accounts/register]}" onto public java.lang.String com.liaozan.web.controller.UserController.accountRegister(com.liaozan.common.model.User,org.springframework.ui.ModelMap)
